	Topic	Top-Words	Word2Vec labels
0	0	['temps', 'trouver', 'avoyer', 'personne', 'paraître', 'prendre', 'long', 'jour', 'donner', 'maison', 'assez', 'rendre', 'plaisir', 'peine', 'cependant', 'tôt', 'point', 'recevoir', 'état', 'aurois']	[('que', 0.48175057768821716), ('tôt', 0.4775722622871399), ('avoir', 0.46916255354881287), ('plus', 0.437325119972229), ('mais', 0.43535059690475464), ('peu', 0.4280342757701874), ('tout', 0.4196773171424866), ('temps', 0.4191446304321289), ('beaucoup', 0.41800934076309204), ('même', 0.416474848985672)]
1	1	['roi', 'peuple', 'prince', 'grand', 'citoyen', 'rendre', 'souverain', 'ordre', 'porter', 'gloire', 'trône', 'sujet', 'monarque', 'troupe', 'patrie', 'point', 'nation', 'empire', 'ennemi', 'gouvernement']	[('souverain', 0.704247772693634), ('roi', 0.6052104830741882), ('trône', 0.5670754909515381), ('monarque', 0.5659700632095337), ('gouverner', 0.5264012813568115), ('monarchie', 0.4856320917606354), ('régner', 0.4844167232513428), ('abdication', 0.48332124948501587), ('prince', 0.480372816324234), ('royaume', 0.4705337882041931)]
2	2	['trouver', 'venir', 'jour', 'rendre', 'femme', 'prendre', 'servir', 'là', 'moins', 'devenir', 'jamais', 'passer', 'encore', 'instant', 'heure', 'mettre', 'moyen', 'grand', 'nouveau', 'laisser']	[('là', 0.583224356174469), ('passer', 0.5522234439849854), ('encore', 0.5279828310012817), ('arriver', 0.5257632732391357), ('attendre', 0.5233283042907715), ('mais', 0.5143890380859375), ('laisser', 0.4992748498916626), ('que', 0.4950462579727173), ('ce', 0.49004796147346497), ('aller', 0.4896654188632965)]
3	3	['maître', 'homme', 'petit', 'jacque|jacques', 'grand', 'bon', 'là', 'voilà', 'manger', 'cheval', 'vin', 'prendre', 'savoir', 'comment', 'gens', 'mettre', 'point', 'donner', 'hôte|hôtesse', 'jour']	[('savoir', 0.5906624794006348), ('voilà', 0.5558799505233765), ('pourquoi', 0.518852949142456), ('quoi', 0.5177738070487976), ('moi', 0.5166010856628418), ('je', 0.5116617679595947), ('comment', 0.5080912709236145), ('gens', 0.5036813020706177), ('là', 0.5007340312004089), ('chose', 0.48285654187202454)]
4	4	['homme', 'enfant', 'point', 'voir', 'donner', 'savoir', 'toujours', 'apprendre', 'moins', 'chose', 'nature', 'besoin', 'jamais', 'raison', 'rendre', 'âge', 'grand', 'mal', 'bon', 'connaître']	[('chose', 0.6107636094093323), ('savoir', 0.6041786670684814), ('que', 0.5720412135124207), ('ne', 0.553309440612793), ('pas', 0.5496604442596436), ('croire', 0.5488439798355103), ('jamais', 0.5413327217102051), ('car', 0.5386584997177124), ('toujours', 0.5307769775390625), ('rien', 0.5284162759780884)]
5	5	['foutre', 'fille', 'cul', 'con', 'décharger', 'là', 'duc', 'vit', 'mettre', 'bouche', 'petit', 'plaisir', 'beau', 'femme', 'branler', 'voir', 'homme', 'fesse', 'enculer', 'joli']	[('foutre', 0.5591074228286743), ('joli', 0.5235722661018372), ('fesse', 0.4972345530986786), ('cul', 0.4951885938644409), ('mec', 0.4786664545536041), ('rigoler', 0.46527671813964844), ('branler', 0.4487205147743225), ('chier', 0.4421085715293884), ('merde', 0.4411754310131073), ('aimer', 0.4398329257965088)]
6	6	['voir', 'venir', 'main', 'suivre|être', 'prendre', 'entendre', 'demander', 'sortir', 'passer', 'heure', 'répondre', 'parler', 'mettre', 'porte', 'œil', 'arriver', 'savoir', 'trouver', 'chambre', 'croire']	[('entendre', 0.5916298627853394), ('croire', 0.5579339861869812), ('savoir', 0.5499207377433777), ('arriver', 0.5432276129722595), ('dire', 0.5337048768997192), ('regarder', 0.5334554314613342), ('quand', 0.5212892293930054), ('apercevoir', 0.5154748558998108), ('étonner', 0.512209415435791), ('venir', 0.505541205406189)]
7	7	['père', 'fille', 'mère', 'sœur', 'enfant', 'bon', 'cher', 'frère', 'voir', 'femme', 'fil|fils', 'saint', 'petit', 'venir', 'donner', 'marquis', 'mari', 'jour', 'jeune', 'pauvre']	[('mère', 0.7482848763465881), ('fille', 0.7450946569442749), ('père', 0.6974059343338013), ('enfant', 0.6769418716430664), ('parent', 0.635024905204773), ('soeur', 0.6159356832504272), ('épouse', 0.59192955493927), ('mari', 0.5829039812088013), ('jeune', 0.582229733467102), ('prénommer', 0.578733503818512)]
8	8	['cœur', 'amour', 'âme', 'bonheur', 'aimer', 'voir', 'heureux', 'vie', 'jour', 'sentiment', 'seul', 'doux', 'point', 'sentir', 'plaisir', 'ami', 'jamais', 'temps', 'tendre', 'objet']	[('heureux', 0.6947973966598511), ('bonheur', 0.6718953847885132), ('aimer', 0.6641377210617065), ('amour', 0.6544466018676758), ('plaisir', 0.56809401512146), ('joie', 0.5596922636032104), ('tendresse', 0.5260229110717773), ('sentiment', 0.51728755235672), ('sentir', 0.5101572275161743), ('tristesse', 0.5083587169647217)]
9	9	['lettre', 'suivre|être', 'ami', 'écrire', 'croire', 'comte', 'voir', 'cher', 'chère', 'savoir', 'encore', 'trouver', 'adieu', 'parler', 'moment', 'prendre', 'venir', 'chevalier', 'recevoir', 'amitié']	[('ami', 0.4931411147117615), ('aimer', 0.4922378361225128), ('chère', 0.4896048307418823), ('croire', 0.4709256887435913), ('savoir', 0.4582901895046234), ('heureux', 0.4551336169242859), ('venir', 0.4391903281211853), ('que', 0.4342348277568817), ('lui', 0.43172645568847656), ('quand', 0.42986243963241577)]
