	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
prince	0.031709187792669145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
roi	0.030336670434361376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
princesse	0.013139835297917003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grand	0.011585661230421443	0.00646472860337467	0.01037791518074762	0.008623246747743549	0.0	0.008695357964541886	0.003745689786701657	0.0	0.0	0.004606618045555194	0.0	0.004947357029112104	0.0	0.0042677057602430735	0.0	0.004789379100422188	0.0	0.012755748534356046	0.0	0.005454022479865475
cour	0.008860810592604554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
peuple	0.00867915388341676	0.009270176865216508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
isambard	0.00861860164702083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
reine	0.008578233489423543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ennemi	0.00750847731309543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chevalier	0.00750847731309543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009796554507250007	0.01053319461044377	0.0	0.0	0.0	0.0
palais	0.007488293234296787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gloire	0.007488293234296787	0.0028664362675340518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
duchesse	0.006600193767156467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006373326653864351	0.0	0.0	0.0	0.0	0.0
arme	0.005813014694009366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rendre	0.005651542063620217	0.0	0.005041434692254407	0.0	0.0	0.0	0.005324829880076897	0.010865373329532689	0.0	0.006735727226273982	0.008422475724323045	0.0	0.00842813966631447	0.0	0.0	0.00472059089072133	0.0	0.0	0.003252350618068886	0.0
troupe	0.005651542063620217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
guerre	0.005308412724043274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nom	0.004884547069271759	0.0	0.0	0.003368786813000551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004745995220816001
trône	0.004702890360083966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jeune	0.004702890360083966	0.0	0.0	0.0	0.004475949800830942	0.011698132358911897	0.004714534191815935	0.0	0.0	0.0	0.0	0.0	0.005590092635820822	0.0	0.0	0.0	0.0	0.0	0.0	0.013341888662713514
monarque	0.0046221540448893915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
honneur	0.004501049572097529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0037850324232556846	0.0	0.0	0.0	0.0	0.0
combat	0.004501049572097529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
soldat	0.004440497335701598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sujet	0.0043799450993056675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
souverain	0.004258840626513806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pays	0.004077183917326014	0.0	0.0066449444544218386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
porter	0.0036936864201517843	0.0029985769465338485	0.0032839879929189007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002705585875295682	0.0	0.0	0.0	0.0	0.003564510390448957	0.0	0.0	0.0
ordre	0.0036735023413531406	0.003212034966456597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
