	0	1	2	3	4	5	6	7	8	9
0	homme	bien	enfant	femme	cœur	zaïde	bouche	bien	foutre	père
1	nature	voir	loi	voir	voir	statue	jésuite	voir	con	sœur
2	point	point	chef	aller	point	fricamone	garçon	croire	aller	cher
3	peuple	aller	femme	venir	savoir	acaris	in	femme	mettre	mère
4	loi	prendre	fille	grand	aimer	longueil	sucer	ami	fille	frère
5	grand	bon	famille	pied	jamais	danseur	encens	trouver	cul	voir
6	bien	donner	âge	main	bien	obséder	aller	tout	vit	bon
7	esprit	venir	père	bijou	ami	tribut	exciter	savoir	décharger	bien
8	voir	répondre	nature	terre	âme	porcelaine	dard	encore	beau	fil|fils
9	donner	là	maison	tout	amour	satin	fustiger	suivre|être	père	suivre|être
10	idée	homme	an	œil	sentir	miraculeux	che	aller	joli	lettre
11	chose	don	cité	trouver	moins	chapelle	commandant	fille	voir	fille
12	tout	savoir	personne	un	vie	chalet	con	venir	donner	venir
13	seul	jour	jeune	jour	tout	drap	révérend	rendre	bien	savoir
14	jamais	grand	citoyen	homme	encore	balancier	and	jamais	foi|fois	dieu
15	toujours	fort	corps	mettre	homme	none|nones	plastron	prendre	plaisir	aller
16	vertu	mettre	tout	sultan	rendre	magique	coller	donner	femme	marquis
17	trouver	maître	maître	tête	seul	paradeur	extase	moins	gros	tout
18	mal	trouver	sénat	là	sentiment	apperçoive	per	aimer	homme	mari
19	rendre	tout	soin	petit	toujours	pygmée	rein	cœur	venir	parler
20	moins	parler	prendre	entendre	temps	réintégrer	férocité	jour	tout	ici
21	devenir	suivre|être	nombre	point	croire	foit	his	seul	prendre	donner
22	servir	seigneur	commun	jamais	vivre	crucifix	the	laisser	petit	jour
23	dieu	paraître	un	instant	donner	baragouiner	was	point	vivre	écrire
24	nation	rendre	cas	répondre	jour	contrôleur	una	homme	sœur	pauvre
25	bon	passer	tribu	milieu	vertu	répondoit	feuillée	toujours	conin	femme
26	crime	encore	général	coup	doux	député	piocher	parler	enculer	enfant
27	humain	temps	éducation	an	parler	imaginoit	coiffeuse	amour	encore	aimer
28	art	beau	profession	passer	foi|fois	fidelles	cinglon	là	téton	ami
29	principe	petit	travail	ciel	prendre	hermitage	polluer	moment	jeune	beau
30	société	demander	particulier	mangogul	mal	figurant	jet	temps	écrier	homme
31	vice	laisser	parent|parents	bras	bonheur	rouleau	titillation	lettre	coup	là
32	roi	maison	garçon	jeter	raison	apperçoivent	lord	demander	bander	mettre
33	beau	air	point	arriver	suivre|être	piquet	allemand	plaisir	main	cœur
34	état	personne	prescrire	encore	œil	cacheter	posture	mettre	lit	croire
35	raison	croire	tour	mort	trouver	lundi	pique	sentiment	langue	voilà
36	un	reprendre	seulement	temps	enfant	quinzaine	mi	connaître	là	mariage
37	action	assez	mari	jeune	connaître	prévaloir	juger	foi|fois	bouche	famille
38	âme	chose	toujours	corps	tant	secrettes	mignon	répondre	pied	petit
39	temps	dame	peine	dieu	plaisir	mauvois	deux	attendre	baiser	grand
40	gens	un	époux	favorite	peine	baladin	tout	passer	demander	regarder
41	ainsi	sortir	société	foi|fois	perdre	acclamation	extasier	malheureux	ma	chose
42	heureux	entrer	sexe	nuit	mieux	indirect	petit	comte	jour	entendre
43	besoin	esprit	ouvrier	arbre	rester	directement	fondre	chose	putain	main
44	encore	femme	usage	près	penser	rajuster	they	recevoir	chatouiller	encore
45	intérêt	entendre	autorité	cri	soin	papa	più	mieux	mari	porter
46	religion	jeune	cultiver	heure	père	remercimens	to	perdre	laver	œil
47	mœurs	apprendre	destiner	ici	état	poussière	for	devenir	bougre	lire
48	sage	arriver	mâle	placer	heureux	chœur	enconnez	paraître	répondre	mot
49	fort	tenir	jour	île	tendre	interprête	piochée	heure	puis	larme
