TopicNumber	Label fr	Label en	Label de	Themenkonzept 1	Themenkonzept 2
0	Topic 0:voyage maritime	Topic 0:navigation	Topic 0:Schiffahrt	voyage maritime 	x
1	Topic 1:sentiment2	Topic 1:sentiment2	Topic 1:Gefühl2	sentiment	x
2	Topic 2:guerre	Topic 2:war	Topic 2:Krieg	guerre	x
3	Topic 3:famille	Topic 3:family	Topic 3:Familie	famille	x
4	Topic 4:philosophie	Topic 4:philosophy	Topic 4:Philosophie	philosophie	x
5	Topic 5:beauté_pastorale en littérature	Topic 5:beauty_pastorale in litterature	Topic 5:Schönheit_Pastorale in der Literatur	beauté	pastorale en littérature
6	Topic 6:temps	Topic 6:time	Topic 6:Zeit	temps	x
7	Topic 7:titres_relation social	Topic 7:titles_social relationship	Topic 7:Titel_Soziale Beziehung	noblesse	amitié
8	Topic 8:[croire moins encore]	Topic 8:[croire moins encore]	Topic 8:[croire moins encore]	x	x
9	Topic 9:famille2	Topic 9:family2	Topic 9:Familie2	famille	x
10	Topic 10:[bon là voir]	Topic 10:[bon là voir]	Topic 10:[bon là voir]	x	x
11	Topic 11:corps	Topic 11:corps	Topic 11:Körper	corps	x
12	Topic 12:alimentation_sociabilité	Topic 12:aliment_sociability	Topic 12:Nahrung_Soziabilität	alimentation	sociabilité
13	Topic 13:communication	Topic 13:communication	Topic 13:Kommunikation	conversation	x
14	Topic 14:religion	Topic 14:religion	Topic 14:Religion	religion	x
15	Topic 15:amour2	Topic 15:amour2	Topic 15:Liebe2	amour	x
16	Topic 16:nuit	Topic 16:night	Topic 16:Nacht	nuit	x
17	Topic 17:fortune_vertu 	Topic 17:destiny_vertue	Topic 17:Schicksal_Tugend	destin	vertu
18	Topic 18:[paraître recevoir personne]	Topic 18:[paraître recevoir personne]	Topic 18:[paraître recevoir personne]	x	x
19	Topic 19:affection	Topic 19:affection	Topic 19:Zuneigung	affection	x
20	Topic 20:art	Topic 20:art	Topic 20:Kunst	art	x
21	Topic 21:crime	Topic 21:crime	Topic 21:Verbrechen	crime	x
22	Topic 22:[bon petit dame]	Topic 22:[bon petit dame]	Topic 22:[bon petit dame]	x	x
23	Topic 23:[femme homme esprit]	Topic 23:[femme homme esprit]	Topic 23:[femme homme esprit]	x	x
24	Topic 24:éducation_enfance	Topic 24:education_childhood	Topic 24:Bildung_Kindheit	éducation	enfance
25	Topic 25:noblesse	Topic 25:noblesse	Topic 25:Adel	noblesse	x
26	Topic 26:relation amoureuse	Topic 26:romantic relationship	Topic 26:Liebesbeziehung 	relation amoureuse	x
27	Topic 27:nature	Topic 27:nature	Topic 27:Natur	nature	x
28	Topic 28:campagne	Topic 28:rural area	Topic 28:ländlicher Raum	campagne	x
29	Topic 29:deuil	Topic 29:mourning	Topic 29:Trauer	deuil	x
30	Topic 30:libertinage	Topic 30:libertinism	Topic 30:Libertinage	libertinage	x
31	Topic 31:religion_philosophie	Topic 31:religion_philosophy	Topic 31:Religion_Philosophie	religion	philosophie
32	Topic 32:état	Topic 32:state	Topic 32:Staat	état	x
33	Topic 33:[porte grand voir]	Topic 33:[porte grand voir]	Topic 33:[porte grand voir]	x	x
34	Topic 34:correspondance	Topic 34:correspondence	Topic 34:Korrespondenz	correspondance	x
35	Topic 35:amour_sentiment	Topic 35:Liebe_Gefühl	Topic 35:amour_sentiment	amour	sentiment
36	Topic 36:[laisser moyen jamais]	Topic 36:[laisser moyen jamais]	Topic 36:[laisser moyen jamais]	x	x
37	Topic 37:richesse	Topic 37:wealth	Topic 37:Reichtum	richesse	x
38	Topic 38:voyage	Topic 38:travel	Topic 38:voyage	voyage	x
39	Topic 39:monarchie	Topic 39:monarchy	Topic 39:Monarchie	monarchie	x
